"","UF","status","n","year","week","min","max"
"7289","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7290","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7291","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7292","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7293","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7294","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7295","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","2",2014,1,"2","2"
"7296","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7297","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7298","Pará","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7299","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7300","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7301","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7302","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7303","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","2",2014,1,"2","2"
"7304","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7305","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7306","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","1",2014,1,"1","1"
"7307","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7308","São Paulo","Dado estável. Sujeito a pequenas alterações.","2",2014,1,"2","2"
"7309","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7310","Acre","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7311","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7312","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7313","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7314","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7315","Brasil","Dado estável. Sujeito a pequenas alterações.","12",2014,2,"12","12"
"7316","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7317","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7318","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7319","Goiás","Dado estável. Sujeito a pequenas alterações.","1",2014,2,"1","1"
"7320","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7321","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7322","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7323","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","4",2014,2,"4","4"
"7324","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7325","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7326","Pará","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7327","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7328","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7329","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7330","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7331","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7332","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7333","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7334","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","1",2014,2,"1","1"
"7335","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2014,2,"0","0"
"7336","São Paulo","Dado estável. Sujeito a pequenas alterações.","5",2014,2,"5","5"
"7337","Tocantins","Dado estável. Sujeito a pequenas alterações.","1",2014,2,"1","1"
"7338","Acre","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7339","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7340","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7341","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7342","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
"7343","Brasil","Dado estável. Sujeito a pequenas alterações.","10",2014,3,"10","10"
"7344","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2014,3,"0","0"
