"","UF","status","n","year","week","min","max"
"259","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"260","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"261","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"262","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"263","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"264","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"265","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"266","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"267","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"268","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"269","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"270","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"271","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"272","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"273","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"274","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"275","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"276","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"277","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"278","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"279","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"280","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"281","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"282","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"283","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"284","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"285","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"286","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"287","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"288","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"289","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"290","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"291","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
"292","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,11,"0","0"
