"","year","week","UF","status_sars","n_sars","min_sars","max_sars","cases","deaths"
"243",2009,9,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"244",2009,9,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"245",2009,9,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"246",2009,9,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"247",2009,9,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"248",2009,9,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"249",2009,9,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"250",2009,9,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"251",2009,9,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"252",2009,9,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"253",2009,10,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"254",2009,10,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"255",2009,10,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"256",2009,10,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"257",2009,10,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"258",2009,10,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"259",2009,10,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"260",2009,10,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"261",2009,10,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"262",2009,10,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"263",2009,10,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"264",2009,10,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"265",2009,10,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"266",2009,10,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"267",2009,10,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"268",2009,10,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"269",2009,10,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"270",2009,10,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"271",2009,10,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"272",2009,10,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"273",2009,10,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"274",2009,10,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"275",2009,10,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"276",2009,10,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"277",2009,10,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"278",2009,10,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"279",2009,10,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"280",2009,10,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"281",2009,11,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"282",2009,11,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
